id_serial, id_genre
1, 1
1, 2
1, 3
2, 1
2, 4
2, 5
3, 6
3, 7
3, 8
4, 1
4, 4
5, 1
5, 6
5, 5
6, 1
6, 6
6, 8
7, 1
7, 8
8, 6
8, 8
9, 9
9, 8
9, 1
10, 1
10, 10
11, 1
11, 5
12, 1
12, 5
13, 3
13, 1
13, 9
13, 2
14, 1
14, 5
15, 1
15, 8
15, 7
15, 3
16, 4
16, 8
16, 2
17, 1
17, 9
17, 8
18, 1
18, 4
18, 11
18, 5
19, 1
19, 12
20, 1
20, 8
20, 3
20, 12
20, 9
21, 1
21, 3
21, 6
22, 13
22, 1
22, 14
23, 1
23, 6
23, 5
24, 4
24, 3
24, 2
25, 3
25, 8
26, 1
26, 5
27, 3
27, 8
27, 4
27, 6
27, 7
27, 2
28, 1
28, 9
29, 1
29, 9
30, 1
30, 4
30, 6
30, 15
31, 5
31, 1
31, 6
32, 1
32, 8
32, 6
33, 2
33, 6
34, 6
34, 9
34, 1
35, 1
35, 4
35, 12
36, 1
36, 13
36, 15
36, 9
37, 3
37, 9
37, 16
37, 7
38, 1
38, 6
38, 5
38, 17
39, 1
39, 8
39, 10
39, 12
40, 1
40, 7
40, 12
40, 6
41, 4
41, 1
42, 1
42, 8
42, 12
42, 9
42, 16
43, 1
43, 16
43, 11
44, 1
44, 5
44, 12
45, 5
45, 1
45, 12
46, 3
46, 1
46, 8
47, 1
47, 5
48, 5
48, 1
49, 3
49, 8
49, 9
49, 7
50, 9
50, 1
51, 9
51, 1
51, 5
52, 1
52, 9
53, 1
53, 9
53, 12
54, 3
54, 9
54, 1
54, 12
55, 1
55, 12
56, 1
56, 4
56, 8
57, 1
57, 8
58, 12
58, 8
58, 1
58, 10
59, 7
59, 8
59, 2
60, 1
60, 12
60, 8
60, 13
61, 6
61, 17
61, 5
61, 8
62, 6
62, 1
62, 9
63, 1
63, 9
63, 8
64, 1
64, 13
65, 1
65, 12
65, 9
65, 5
66, 1
66, 18
66, 8
66, 7
67, 1
67, 5
67, 9
67, 4
68, 1
68, 9
68, 8
69, 1
69, 8
69, 7
70, 1
70, 5
70, 15
70, 9
71, 1
71, 2
72, 1
72, 9
72, 3
73, 1
73, 5
74, 17
74, 7
74, 8
75, 6
75, 17
75, 8
75, 7
75, 1
76, 1
76, 11
77, 8
78, 6
78, 8
79, 1
79, 5
79, 9
79, 15
