id, id_season, number, name, release_date, torrent_link
1, 1, 8, "Сумерки", "25.09.2019", "https://www.lostfilm.tv/v_search.php?a=453001008"
2, 1, 7, "Мир грядущего", "24.09.2019", "https://www.lostfilm.tv/v_search.php?a=453001007"
3, 1, 6, "Существа без сопровождения", "20.09.2019", "https://www.lostfilm.tv/v_search.php?a=453001006"
4, 1, 5, "Довольно печалиться", "16.09.2019", "https://www.lostfilm.tv/v_search.php?a=453001005"
5, 1, 4, "Соединение несоединимого", "14.09.2019", "https://www.lostfilm.tv/v_search.php?a=453001004"
6, 1, 3, "Королевства Луны", "10.09.2019", "https://www.lostfilm.tv/v_search.php?a=453001003"
7, 1, 2, "Эшлинг", "06.09.2019", "https://www.lostfilm.tv/v_search.php?a=453001002"
8, 1, 1, "Темный Бог пробуждается", "02.09.2019", "https://www.lostfilm.tv/v_search.php?a=453001001"
9, 2, 10, "Убей меня как в последний раз", "20.10.2019", "https://www.lostfilm.tv/v_search.php?a=452001010"
10, 2, 9, "Интересно, что делает подобных дам такими смертоносными", "12.10.2019", "https://www.lostfilm.tv/v_search.php?a=452001009"
11, 2, 8, "Браки распадаются не из-за убийства - это лишь симптом, что что-то не так", "05.10.2019", "https://www.lostfilm.tv/v_search.php?a=452001008"
12, 2, 7, "Я узнала секрет убийства: подруги. Лучшие подруги", "28.09.2019", "https://www.lostfilm.tv/v_search.php?a=452001007"
13, 2, 6, "Смертельна во всех смыслах", "21.09.2019", "https://www.lostfilm.tv/v_search.php?a=452001006"
14, 2, 5, "Убитые не плачут", "15.09.2019", "https://www.lostfilm.tv/v_search.php?a=452001005"
15, 2, 4, "Мне достаточно убить", "07.09.2019", "https://www.lostfilm.tv/v_search.php?a=452001004"
16, 2, 3, "Убивала всех, с кем он был, пока не выбилась из сил", "31.08.2019", "https://www.lostfilm.tv/v_search.php?a=452001003"
17, 2, 2, "Я бы тебя убила, вот только голову помыла", "26.08.2019", "https://www.lostfilm.tv/v_search.php?a=452001002"
18, 2, 1, "Убийство освобождает от извинений", "26.08.2019", "https://www.lostfilm.tv/v_search.php?a=452001001"
19, 3, 10, "Пути. Часть 2", "08.09.2019", "https://www.lostfilm.tv/v_search.php?a=451001010"
20, 3, 9, "Пути. Часть 1", "08.09.2019", "https://www.lostfilm.tv/v_search.php?a=451001009"
21, 3, 8, "Только для женщин", "05.09.2019", "https://www.lostfilm.tv/v_search.php?a=451001008"
22, 3, 7, "Наследие", "01.09.2019", "https://www.lostfilm.tv/v_search.php?a=451001007"
23, 3, 6, "Ассасины Гу", "29.08.2019", "https://www.lostfilm.tv/v_search.php?a=451001006"
24, 3, 5, "Спокойного сна", "25.08.2019", "https://www.lostfilm.tv/v_search.php?a=451001005"
25, 3, 4, "Извивающийся змей", "22.08.2019", "https://www.lostfilm.tv/v_search.php?a=451001004"
26, 3, 3, "Огненный петух", "18.08.2019", "https://www.lostfilm.tv/v_search.php?a=451001003"
27, 3, 2, "Ошибки юности", "15.08.2019", "https://www.lostfilm.tv/v_search.php?a=451001002"
28, 3, 1, "Пьяный арбуз", "11.08.2019", "https://www.lostfilm.tv/v_search.php?a=451001001"
